,xcode,name,nationality,birthdate,gender,club
93,2655,ALBERER Oliver,GER,1989,M,SV Meßstetten
94,4717,ALBERTI Fabio,ITA,1987,M, 
95,2077,ALBORN Alan,USA,1980,M,Alaska Jumping Club
96,8073,ALCHIKOV Maksim,RUS,2005,M,GBU SSH RGSH Stolitsa
97,6597,ALCHIKOVA Liubov,RUS,27-08-1996,F,CSP Krasnodar
98,3253,ALEGRE Francisco,ESP, ,M, 
99,6300,ALEGRO Vesna,SLO,1991,F,Sd Gora
100,4690,ALEKSANDROV Sergei,BLR,1981,M, 
101,6686,ALEKSANDROVA Maria,RUS,22-03-1998,F,Sdushor Start
102,7064,ALESHINA Victoria,RUS,11-09-1997,F, 
103,5219,ALEXANDER Nicholas,USA,1988,M, 
104,7909,ALEXANDROVA Anna,RUS,02-03-2001,F,Start Perm
105,8856,ALGERIA,ALG, ,A, 
106,8750,ALGERIA,ALG, ,M, 
107,8638,ALGERIA,ALG, ,F, 
108,8980,ALGERIA I,ALG, ,A, 
109,9352,ALGERIA I,ALG, ,M, 
110,9099,ALGERIA I,ALG, ,F, 
111,9819,ALGERIA II,ALG, ,A, 
112,9467,ALGERIA II,ALG, ,M, 
113,9581,ALGERIA II,ALG, ,F, 
114,9938,ALGERIA III,ALG, ,A, 
115,9218,ALGERIA III,ALG, ,M, 
116,9698,ALGERIA III,ALG, ,F, 
117,7065,ALIEV Kazbek,RUS,1980,M, 
118,9339,ALIEVI Esmiralda,GEO,2007,F,Bakuriani
119,219698,ALIEVI Kamran,GEO,2005,M,Bakuriani
120,5704,ALILUEV Ilia,RUS,1989,M, 
121,7273,ALLAMURATOV Erkin,RUS,18-09-1996,M,St. petersburg
122,3351,ALLEN Kevin,CAN, ,M, 
123,3196,ALLEN Kirk,CAN, ,M, 
124,2075,ALLGAYER Klaus,SUI,1978,M,SC Einsiedeln
125,3067,ALLGAYER Klaus,GER, ,M, 
126,5515,ALTENBURGER Florian,AUT,1993,M,SC Seekirchen-Salzburg
127,7202,ALTER Markkus,EST,27-06-2002,M,Pohjakotkas Sport society
128,5503,ALTHAUS Daniel,GER,1993,M,SC Oberstdorf
129,7004,ALTHAUS Felix,GER,1999,M,Sc Oberstdorf
130,6113,ALTHAUS Katharina,GER,23-05-1996,F,SC 1906 Oberstdorf
131,7131,ALZHANOVA Viktoriya,KAZ,2000,F,Almaty Skiclub
132,8027,AMBLE Espen Alexander Johansen,NOR,19-07-2001,M,Ullensaker Skiklubb
133,7889,AMBLE Eva Elise Johansen,NOR,11-08-1999,F,Ullensaker Hopp
134,7745,AMBROSI Martina,ITA,07-04-2001,F,U.S. DOLOMITICA A.S.D.
135,8860,AMERICAN SAMOA,ASA, ,A, 
136,8754,AMERICAN SAMOA,ASA, ,M, 
137,8642,AMERICAN SAMOA,ASA, ,F, 
138,8984,AMERICAN SAMOA I,ASA, ,A, 
139,9356,AMERICAN SAMOA I,ASA, ,M, 
140,9103,AMERICAN SAMOA I,ASA, ,F, 
141,9823,AMERICAN SAMOA II,ASA, ,A, 
142,9471,AMERICAN SAMOA II,ASA, ,M, 
143,9585,AMERICAN SAMOA II,ASA, ,F, 
144,9942,AMERICAN SAMOA III,ASA, ,A, 
145,9222,AMERICAN SAMOA III,ASA, ,M, 
146,9702,AMERICAN SAMOA III,ASA, ,F, 
147,8056,AMILKIEWICZ Tymoteusz,POL,2005,M,Azs Zakopane
148,6766,AMINO Motoki,JPN,1996,M, 
149,2067,AMMANN Simon,SUI,25-06-1981,M,SSC Toggenburg
150,3734,AMUNU Paavo,FIN, ,M, 
151,8492,AMY Skyler,USA,2005,M,Alaska Winter Stars Inc
152,3004,ANBO Junya,JPN,1981,M, 
153,4310,ANBO Tomoya,JPN,1985,M, 
154,4477,ANBO Yohei,JPN,1979,M, 
155,4349,ANCHI Shinnosuke,JPN,1986,M, 
156,7123,ANCHUGIN Stanislav,KAZ,1998,M,Almaty Skiclub
157,7227,ANDEREGG Mario,SUI,1999,M,Am Bachtel wald
158,3532,ANDERRSON Bert,SWE, ,M, 
159,3352,ANDERS Chad,CAN, ,M, 
160,7190,ANDERS Haare,NOR,1999,M,Vikersund I.F
161,2222,ANDERSEN Alf,NOR,1906,M, 
162,2818,ANDERSEN David,NOR,1983,M,Isfjorden IL/Troenderhopp
163,6203,ANDERSEN Espen,NOR,1993,M,Lommedalen Il
164,2234,ANDERSEN Gunnar,NOR,1909,M, 
165,4603,ANDERSEN Jan-Otta,NOR,1984,M,Eggedal IL
166,3143,ANDERSEN Karl Vegard,NOR, ,M, 
167,2235,ANDERSEN Reidar,NOR,1911,M, 
168,4961,ANDERSEN Thomas,NOR,1984,M,Lommedalen IL
169,5334,ANDERSON Elisabeth,USA,1989,F,Eau Claire Ski Club Inc
170,6814,ANDERSON Emilee,USA,1995,F,Flying Eagles Ski Club
171,3923,ANDERSSON Bo,SWE, ,M, 
172,2197,ANDOH Masanori,JPN,1988,M, 
173,8857,ANDORRA,AND, ,A, 
174,8751,ANDORRA,AND, ,M, 
175,8639,ANDORRA,AND, ,F, 
176,8981,ANDORRA I,AND, ,A, 
177,9353,ANDORRA I,AND, ,M, 
178,9100,ANDORRA I,AND, ,F, 
179,9820,ANDORRA II,AND, ,A, 
180,9468,ANDORRA II,AND, ,M, 
181,9582,ANDORRA II,AND, ,F, 
182,9939,ANDORRA III,AND, ,A, 
183,9219,ANDORRA III,AND, ,M, 
184,9699,ANDORRA III,AND, ,F, 
185,4903,ANDRE Amelie,FRA,1988,F,Gerardmer
186,6418,ANDREAS Danielsson,SWE,1998,M,If Friska viljor
187,8218,ANDREASSEN Mathias,NOR,31-01-2002,M,Eidsvold Vaerks Skiklub
188,7581,ANDREEVA Margarita,KAZ,2002,F,Almaty Ski club
189,4601,ANDRESEN Thomas,NOR,1984,M,Lommedalen IL
190,7750,ANDREWS Grant,USA,1997,M, 
191,3804,ANGERER A.,GER, ,M, 
192,8121,ANGERER Alexander,GER,2004,M,Wsv Djk rastbuechl
193,4947,ANISIMOV Maksim,BLR,1983,M,SC Minsk
194,5921,ANKEN Olivier,SUI,1993,M,Le Brassus
195,5232,ANKEN Vital,SUI,1992,M,Le Brassus
196,4694,ANNEMUELLER Christian,AUT,1988,M, 
197,6039,ANOSHKIN Egor,RUS,1984,M, 
198,3334,ANTHAMATTEN Samuel,SUI, ,M, 
199,6005,ANTONISSEN Lars,NED,1995,M, 
200,3479,ANWANDER Hermann,GER, ,M, 
201,7306,ANZAWA Shoichi,JPN,17-09-1998,M,Nayoro jump club
202,6608,ANZJOEN Torgeir,NOR,1982,M,Asker Skiklubb
203,2337,AOCHI S.,JPN,1942,M, 
204,4437,AOKI Junpei,JPN,1982,M, 
205,4427,AOKI Naoya,JPN,1983,M, 
206,2198,AOKI Tsuyoshi,JPN,1985,M, 
207,4505,AOKI Yuji,JPN,1981,M, 
208,8586,APARICIO CANEJERO Dylan,FRA,2007,M,CS COURCHEVEL
209,7402,APSANCS Voldemars,LAT,2002,M,Lidojosais Slepotajs
210,4033,ARASEKI Yuta,JPN,1982,M, 
211,4273,ARAYA Yasufumi,JPN,1983,M, 
212,7340,ARDELEAN Paul Gabriel,ROU,03-09-1999,M,CSS Dinamo Rasnov
213,7640,ARDELEAN Radu Matei,ROU,2004,M,CSS Dinamo Rasnov
214,5810,ARDELIAN Ted,CAN,1994,M,Altius Nordic ski club
215,4917,ARDOVINO Avery,USA,1992,F,Park City Nordic Ski Club
216,4173,AREN Andreas,SWE,1985,M,Holmens IF
217,6056,ARENDT Alexander,GER,1993,M,Sc Willingen
218,8858,ARGENTINA,ARG, ,A, 
219,8752,ARGENTINA,ARG, ,M, 
220,8640,ARGENTINA,ARG, ,F, 
221,8982,ARGENTINA I,ARG, ,A, 
222,9354,ARGENTINA I,ARG, ,M, 
223,9101,ARGENTINA I,ARG, ,F, 
224,9821,ARGENTINA II,ARG, ,A, 
225,9469,ARGENTINA II,ARG, ,M, 
226,9583,ARGENTINA II,ARG, ,F, 
227,9940,ARGENTINA III,ARG, ,A, 
228,9220,ARGENTINA III,ARG, ,M, 
229,9700,ARGENTINA III,ARG, ,F, 
230,7545,ARH Mitja,SLO,17-12-2001,M,Nsd Bohinj
231,7621,ARH Mitja,SLO,2004,M,Nsd Bohinj
232,5752,ARLT Christian,GER,1992,M,WSV 08 Johanngeorgenstadt
233,4770,ARMBRUSTER Manuel,GER,1986,M,SZ Bad Grießbach
234,8280,ARMBRUSTER Nathalie,GER,2006,F,SV-SZ Kniebis
235,8859,ARMENIA,ARM, ,A, 
236,8753,ARMENIA,ARM, ,M, 
237,8641,ARMENIA,ARM, ,F, 
238,8983,ARMENIA I,ARM, ,A, 
239,9355,ARMENIA I,ARM, ,M, 
240,9102,ARMENIA I,ARM, ,F, 
241,9822,ARMENIA II,ARM, ,A, 
242,9470,ARMENIA II,ARM, ,M, 
243,9584,ARMENIA II,ARM, ,F, 
244,9941,ARMENIA III,ARM, ,A, 
245,9221,ARMENIA III,ARM, ,M, 
246,9701,ARMENIA III,ARM, ,F, 
247,7747,ARMSTRONG Gabriella,USA,1998,F,New York Ski Ed Foundation
248,8202,ARNET Sina,SUI,2005,F,Einsiedeln
249,219721,ARNOLD Elias,SUI,2008,M,Unterschachen
250,1976,ARNOLD Herbert,GER, ,M, 
251,2675,ARNOLD Landis,USA,1960,M, 
252,2382,ARNOLD M.,DDR, ,M, 
253,5692,ARNOLD Sven,SUI,1989,M,SC Unterschaechen
254,8500,ARNONE Tess,USA,2003,F,Steamboat Springs winter sports clu
255,3660,ARNOULD Jannie,FRA, ,M, 
256,5736,ARNOULD Jean-Louis,FRA,1990,M,Gerardmer
257,4661,ARNOULD Kevin,FRA,1980,M,Saint Gervais
258,3586,ARNTZEN Ole,NOR, ,M, 
259,3199,ARPIN Jacky,FRA, ,M, 
260,5096,ARPIN Steeve,FRA,1989,M,La Rosière
261,3312,ARPIN Xavier,FRA, ,M, 
262,219742,ARQUIT Samuel,USA,20-10-1999,M,New York Ski Ed Foundation
263,8347,ARSLAN Salih Enes,TUR,28-05-2001,M, 
264,4804,ASAHI Hidetaka,JPN,1980,M, 
265,4805,ASAISHI Kazuya,JPN,1985,M, 
266,4444,ASAISHI Yusuke,JPN,1982,M, 
267,3411,ASARI Masakatsu,JPN, ,M, 
268,8190,ASCHAUER Loris,AUT,2003,M,Uvb Hinzenbach
269,3383,ASCHENBACH Dietmar,DDR, ,M, 
270,2339,ASCHENBACH Hans-Georg,DDR,1951,M, 
271,6970,ASCHENWALD Marina,AUT,2000,F,Sc Mayrhofen
272,6922,ASCHENWALD Patrick,AUT,1992,M,Sc Mayerhofen
273,6084,ASCHENWALD Philipp,AUT,12-11-1995,M,SC Mayerhofen-Tirol
274,2884,ASHIMOTO Yuhji,JPN, ,M, 
275,5757,ASIKAINEN Lauri,FIN,1989,M,Kuusamon Erae-Veikot
276,219613,ASLESEN Sindre Trier,NOR,04-09-2002,M,Kongsberg IF hopp
277,5083,ASPELUND Christian,NOR,1985,M,Lommedalen IL
278,2439,ASPHOL Halvor,NOR,1961,M,Kleive
279,3935,ASTROEM Ulf,SWE, ,M, 
280,5643,ASUKULL Alar,EST,1988,M,Sportschool Voru
281,7857,ATAC Aleyna,AUT,2004,F,SC Fieberbrunn
282,3745,AUBERT Eric,SUI, ,M, 
283,2005,AUDENRIETH Roland,GER,1979,M,SC Partenkirchen
284,4032,AUER Martin,GER,1983,M,WSV Reit im Winkel
285,219719,AUINGER Julian,AUT,2007,M,UVB Hinzenbach
286,6588,AUNE Joakim,NOR,10-08-1993,M,Byaasen
287,8861,AUSTRALIA,AUS, ,A, 
288,8755,AUSTRALIA,AUS, ,M, 
289,8643,AUSTRALIA,AUS, ,F, 
290,8985,AUSTRALIA I,AUS, ,A, 
291,9357,AUSTRALIA I,AUS, ,M, 
292,9104,AUSTRALIA I,AUS, ,F, 
293,9824,AUSTRALIA II,AUS, ,A, 
294,9472,AUSTRALIA II,AUS, ,M, 
295,9586,AUSTRALIA II,AUS, ,F, 
296,9943,AUSTRALIA III,AUS, ,A, 
297,9223,AUSTRALIA III,AUS, ,M, 
298,9703,AUSTRALIA III,AUS, ,F, 
299,7967,AUSTRIA,AUT, ,A, 
300,74575,AUSTRIA,AUT, ,M, 
301,7941,AUSTRIA,AUT, ,F, 
302,8986,AUSTRIA I,AUT, ,A, 
303,8471,AUSTRIA I,AUT, ,M, 
304,8462,AUSTRIA I,AUT, ,F, 
305,9336,AUSTRIA II,AUT, ,A, 
306,193167,AUSTRIA II,AUT, ,M, 
307,7264,AUSTRIA II,AUT, ,F, 
308,9944,AUSTRIA III,AUT, ,A, 
309,162927,AUSTRIA III,AUT, ,M, 
310,6446,AUSTRIA III,AUT, ,F, 
311,201837,AUSTRIA IV,AUT, ,M, 
312,8463,AUSTRIA IV,AUT, ,F, 
313,162921,AUT1,AUT, ,M, 
314,154474,AUT2,AUT, ,M, 
315,6791,AVOCAT GROS Oceane,FRA,23-04-1997,F,Annemasse ASPTT
316,5501,AVOINE Sébastien,FRA,1993,M,Les Skieurs Rousselands
317,6043,AVVAKUMOVA Irina,RUS,14-09-1991,F,Moscow Region TSSP OVS Dinamo
318,7816,AZEGAMI Sana,JPN,2001,F, 
319,8039,AZEGAMI Suzu,JPN,2004,F, 
320,8863,AZERBAIJAN,AZE, ,A, 
321,8756,AZERBAIJAN,AZE, ,M, 
322,8645,AZERBAIJAN,AZE, ,F, 
323,8987,AZERBAIJAN I,AZE, ,A, 
324,9358,AZERBAIJAN I,AZE, ,M, 
325,9105,AZERBAIJAN I,AZE, ,F, 
326,9825,AZERBAIJAN II,AZE, ,A, 
327,9473,AZERBAIJAN II,AZE, ,M, 
328,9587,AZERBAIJAN II,AZE, ,F, 
329,9945,AZERBAIJAN III,AZE, ,A, 
330,9224,AZERBAIJAN III,AZE, ,M, 
331,9704,AZERBAIJAN III,AZE, ,F, 
332,7890,BAARSET Astrid Louise,NOR,2000,F,Botne SK
333,8024,BAARSET Ole Kristian,NOR,30-11-2001,M,Botne Skiklubb
334,3052,BABIARZ Wojciech,POL, ,M, 
335,7913,BABINTSEV Evgenii,RUS,2002,M,Sdushor Start chaikovsky
336,2622,BABIS Babis,CZE, ,M, 
337,4169,BABIS Martin,SVK,1985,M,LKS Dukla Banska Bystrica
338,5278,BABNIK Tim,SLO,1991,M,SSK Ilirija
339,3174,BABROV Sergei,BLR, ,M, 
340,8588,BACCONNIER Mathilde,FRA,2007,F,CS COURCHEVEL
341,4027,BACHLEDA Daniel,POL,1981,M, 
342,2036,BACHLEDA Marcin,POL,1982,M,TS Wisla Zakopane
343,219718,BACHLEITNER Tobias,AUT,2006,M,ASVOE SC Hoehnhart
344,2321,BACHLER Reinhold,AUT,1944,M, 
345,8136,BACHLINGER Niklas,AUT,22-12-2001,M,WSV Schoppernau
346,4695,BACHMANN Florian,AUT,1988,M, 
347,5003,BACKE Mari,NOR,1987,F,Vikersund IF
348,5061,BACNAR Andrej,SLO,1989,M,SSK Alpina Ziri
349,8562,BADANI Marek,SVK,2007,M,KPSL Banska Bystrica
350,1983,BADENKO S.,SOV, ,M, 
351,4004,BADER Ferdinand,GER,1981,M,SC Auerbach
352,7211,BAER Moritz,GER,16-05-1997,M,SF Gmund-Duernbach
353,4557,BAFIA Dominik,CAN,1988,M,Altius Nordic Ski Club
354,1958,BAGDASCHWILLI Eva,GER,1986,F,SK Meinerzhagen
355,5014,BAGDASCHWILLI Vera,GER,1997,F,SK Meinerzhagen
356,8864,BAHAMAS,BAH, ,A, 
357,8757,BAHAMAS,BAH, ,M, 
358,8646,BAHAMAS,BAH, ,F, 
359,8988,BAHAMAS I,BAH, ,A, 
360,9359,BAHAMAS I,BAH, ,M, 
361,9106,BAHAMAS I,BAH, ,F, 
362,9826,BAHAMAS II,BAH, ,A, 
363,9474,BAHAMAS II,BAH, ,M, 
364,9588,BAHAMAS II,BAH, ,F, 
365,9946,BAHAMAS III,BAH, ,A, 
366,9225,BAHAMAS III,BAH, ,M, 
367,9705,BAHAMAS III,BAH, ,F, 
368,4696,BAIER Christoph,AUT,1987,M, 
369,4108,BAIER Franz,GER, ,M, 
370,2952,BAIG Jeremy,CAN,1975,M, 
371,6171,BAILA Ovidiu,ROU,1996,M,CSU Brasov
372,5220,BAILEY Buck,USA,1989,M,UOP Sports Clubs
373,5221,BAILEY Hyrum,USA,1993,M,National Sports Foundation
374,6670,BAILEY Hyrum,USA,1993,M,UOP Sports Clubs
375,6443,BAILLY BASIN Charles,FRA,1992,M,Chaux Neuve
376,3218,BAJARD Regis,FRA, ,M, 
377,2464,BAJC Vasja,SLO,1962,M, 
378,2307,BAKELOH D.,GER,1942,M, 
379,3681,BAKKE Bill,USA, ,M, 
380,7257,BAKKE Edvart Myrvang,NOR,1996,M,Hedalen Il
381,7089,BAKKE Tonje,NOR,1998,F,Elverum Hopp
382,6219,BAKKEN Knut Erik,NOR,1978,M,Moss Skiklubb
383,8390,BAKKEN Sander Modalen,NOR,2004,M,Vikersund IF
384,2103,BAKKEN Tor-helge,NOR,1970,M, 
385,2490,BAKLOEVI J.,SWE, ,M, 
386,3038,BAL Nicolas,FRA,1978,M,Autrans
387,2735,BALANCHE Gérard,SUI,1968,M, 
388,6060,BALANDA Ruslan,UKR,1992,M,Kremenets Ski School
389,8268,BALATKA Ondrej,CZE,2006,M,JKL Desna
390,4665,BALAZS Andrei,ROU,1986,M,CSS Brasovia-CS Dinamo
391,6873,BALCAR Jan,CZE,1979,M, 
392,3843,BALCAR Jaroslav,CZE,1953,M, 
393,2350,BALCAR Jindrich,CZE,1950,M, 
394,4054,BALDAUF Adolf,GER, ,M, 
395,6201,BALDZIN Aliaksei,BLR,1993,M,Skiclub
396,5279,BALEK Vid,SLO,1989,M,SSK Stol Zirovnica
397,3433,BALFANZ John,USA,1940,M, 
398,6128,BALICKI Michal,POL,1991,M,Lks Poroniec
399,3976,BALINT Lorincz,ROU, ,M, 
400,5123,BALKAASEN Fredrik,SWE,1989,M,Holmens IF
401,2609,BALKAASEN Per,SWE, ,M, 
402,6858,BALLAND Tom,FRA,1995,M,Morbier Bellefontaine
403,5823,BALOH Bine,SLO,1992,M,SSD Stol Zirovnica
404,4495,BANBA Shinya,JPN,1979,M, 
405,4403,BANDAI Toru,JPN,1971,M, 
406,5156,BARABACH Michal,POL,1989,M,KS Wisla Ustronianka
407,6343,BARANNIKOVA Anastasiya,RUS,1987,F,Ski school SDUSSHOR Start SCT Berez
408,7629,BARANTCEVA Aleksandra,RUS,22-12-2001,F,MO TSOVS Kirov
409,2934,BARDAL Anders,NOR,1982,M,Steinkjer Skiklubb
410,4736,BARDORFER Luka,SLO,1986,M,SSK Ilirija
411,6829,BARKER Jake,USA,1994,M,Steamboat Sprgs winter sprts club
412,4584,BARMENKOV Andrej,RUS,1981,M, 
413,1961,BARTAK Patrik,SVK,1988,M, 
414,4067,BARTENSCHLAGER Leopold,GER, ,M, 
415,8456,BARTHMANN Lennart,GER,2004,M,Sv Zschopau
416,5612,BARTOL Gasper,SLO,1991,M,SSK Sam Ihan
417,6633,BARTOL Tilen,SLO,17-04-1997,M,SSK Sam Ihan
418,8412,BARTOLJ Maksim,SLO,01-05-2003,M,Ssk Ilirija
419,5811,BARTON Alex,CAN,1992,M,Altius Nordic ski club
420,6412,BARTOS David,CZE,1994,M,Tj Desna
421,3992,BARTSCHAT Steffen,GER, ,M, 
422,7686,BASILASHVILI Ivane,GEO,12-01-1999,M,Bakuriani
423,7471,BASKAKOV Ilya,RUS,27-08-2000,M, 
424,2006,BASLER Uli,GER,1982,M,SC Traunstein
425,8203,BASSANI Johanna,AUT,2002,F,UVB Hinzenbach
426,7666,BATBY Alessandro,FRA,20-11-2001,M,C.S courchevel
427,4182,BAU Manuel,ITA,1983,M, 
428,5383,BAU Massimiliano,ITA, ,M, 
429,7151,BAUD Matteo,FRA,2002,M,Ski Club mont d or
430,2477,BAUER Andreas,GER,1964,M, 
431,5777,BAUER Christian,ITA,1994,M,Sc Gardena
432,4644,BAUMGARTEN Corvin,GER,1983,M,WSV Braunlage
433,2935,BAUMGARTNER Andreas,AUT,1981,M, 
434,6650,BAUMUNK Martin,GER,1996,M,Sc Hammer
435,8400,BAUREGGER Samuel,AUT,2003,M,Wsv Ramsau
436,3579,BAWER John,USA, ,M, 
437,4559,BAXTER Gregory,CAN,1989,M,Altius Nordic Ski Club
438,8123,BAYER Ben,GER,2004,M,Vfl Pfullingen
439,3656,BAZANA Albino,ITA, ,M, 
440,3854,BAZANA Marcello,ITA, ,M, 
441,7252,BAZHENOV Aleksandr,RUS,13-07-1995,M,ZDUSHOR ZVS CSP
442,6905,BEATTIE Ben,FRA,1996,M,Courchevel
443,8579,BECAN Jerca,SLO,2007,F,SD Dolomiti
444,2877,BECK Andreas,AUT, ,M, 
445,3959,BECK Christoph,AUT, ,M, 
446,2243,BECK Hans,NOR, ,M, 
447,4133,BECKER Stefan,AUT,1985,M, 
448,8338,BEDENIK Tadej,SLO,2005,M,Sk Triglav kranj
449,7282,BEDIR Muhammed Ali,TUR,24-03-2000,M, 
450,8613,BEDRAC Benjamin,SLO,2006,M,SSK MENGES
451,219763,BEGRAND Mael,FRA,2004,M,PREMANON SKI CLUB
452,5413,BEISVAAG Anders,NOR,1990,M,Jardar IL
453,6866,BEISVAAG Maria Hurtado,NOR,1998,F,Jardar Il/Kollenhopp
454,7968,BELARUS,BLR, ,A, 
455,91803,BELARUS,BLR, ,M, 
456,7942,BELARUS,BLR, ,F, 
457,8992,BELARUS I,BLR, ,A, 
458,9363,BELARUS I,BLR, ,M, 
459,9110,BELARUS I,BLR, ,F, 
460,9830,BELARUS II,BLR, ,A, 
461,9478,BELARUS II,BLR, ,M, 
462,9592,BELARUS II,BLR, ,F, 
463,9950,BELARUS III,BLR, ,A, 
464,9229,BELARUS III,BLR, ,M, 
465,9709,BELARUS III,BLR, ,F, 
466,8865,BELGIUM,BEL, ,A, 
467,8758,BELGIUM,BEL, ,M, 
468,8647,BELGIUM,BEL, ,F, 
